,oocyte,2cell,4cell,8cell,morula
Lx9,-0.0348798515339212,-0.48895111913133,-0.588094633762279,-0.950743168403671,-0.583757346378757
B2_Mm1a,0.0892215608111492,0.706468631410641,0.844038567915643,1.14003203783171,0.912659893321279
MTB_Mm,0.305265960051394,0.0970878500891976,-0.673722927693565,-0.836422983045284,-0.738798426760853
RLTR1B-int,0.153561227153661,0.259023526981592,0.606436385942839,1.98649903893482,1.47057849496331
B2_Mm1t,0.147176348209193,0.669987848243866,0.8668969754185,1.05161186209687,0.889660998098299
ORR1A1,-0.0249074150503828,0.382563588495114,0.503528529216198,0.775337660610909,1.26768406143445
RLTR10-int,0.305211220929594,-0.726269258748409,-0.215437380992086,0.551885739546192,0.0461276454377226
RLTRETN_Mm,0.308898639686682,1.05292727939442,1.55219688124324,2.28048988591846,2.0498173251698
B2_Mm2,0.211569015752013,0.525742457516797,0.497847364175678,0.227619362048472,0.454293848089556
RLTR13D4,0.120335981476194,-0.223554548713515,1.29918396700385,3.41745988046659,3.08532106502781
B1F1,0.0772419486995849,0.402209321247109,0.7847234855071,0.961370373864781,0.749004790861653
RMER6A,0.290537173478917,1.0410557965816,1.16555797281322,1.25775583450325,0.380003293069789
Lx7,-0.0411603006804141,-0.459261122942928,-0.58074902022136,-0.735135560577106,-0.519536321575329
MTC,0.182881644474131,-0.0136272072256829,-0.296322035002412,-0.187915484998705,-0.158913660763173
ORR1A0-int,0.26114315536656,1.78319968800446,1.54148660587526,2.07315778479866,1.93134727587464
Lx3C,-0.113252734149334,-0.310408047390979,-0.928994407159406,-1.76604093523793,-0.994274279825818
RLTR13C1,-0.00426489806821789,-0.272883815661706,0.440744316250361,2.15723871222694,2.30224913129846
Lx3B,-0.125767373706317,-0.308346891135878,-0.998331884659749,-1.75348279226853,-1.10351694178354
L1_Mus4,-0.194590293195581,-0.449030712220421,-0.821808567352297,-1.68382107602573,-0.873224001500302
B1F2,0.0695371254500812,0.469644710440188,0.810723641790361,1.00220670708307,0.743727272660986
RLTR13G,0.125745642238897,-0.0518976104765601,0.161609683498997,2.07340523656589,2.01600955459319
ETnERV3-int,-0.27512317217553,-0.607504929143847,0.487857042708769,1.55759992368865,1.19507813930005
L1Md_F,-0.437280282525213,-0.71491501367549,-0.198870445174843,-0.146083088654097,-0.0265817706392459
