,id,M,A,stage,zscore,p.value,fdr
265,LTR53-int,0.226321771607146,8.98139153224685,oocyte,2.94390996965232,0.00324094262697924,0.00584421500078002
266,L2-1_AMi,0.644767775248566,5.89741098666561,oocyte,2.88013832954424,0.00397500724412931,0.0070675628800619
267,MER110-int,0.354605557745461,7.61987384177846,oocyte,2.87748406970569,0.00400860149474297,0.00711306732300698
268,MMTV-int,0.17785220145145,9.55121342641068,oocyte,2.81854995987145,0.00482411030094797,0.00850919455861655
269,L1ME5,0.178966476592275,9.53143151576602,oocyte,2.8168300207538,0.00485001864897451,0.00853795362166007
270,LFSINE_Vert,0.0734661487374458,12.0952302782916,oocyte,2.81183328905459,0.00492600272804007,0.00865457791546961
271,MT-int,0.0812905575396727,11.7724302301751,oocyte,2.78195791357113,0.00540320464381613,0.00947425824132651
272,RLTR13A,0.101850780584573,11.1169198257553,oocyte,2.77717037835415,0.00548344267762813,0.00959602468584923
273,LTR82B,0.125709772271708,10.504712035402,oocyte,2.77239975649236,0.00556446549896125,0.00971868335673193
274,L3b,0.0543711241578591,12.9210596740502,oocyte,2.77071508199383,0.00559333459903697,0.00974994991871346
275,RLTR11A,0.0348493825859782,14.176886853761,oocyte,2.74478367399993,0.00605507972357531,0.0104931108660009
276,ERVB4_1B-LTR_MM,0.062150859165369,12.4819250894837,oocyte,2.71995284584181,0.00652912262338022,0.0112760759064594
277,LTR105_Mam,0.191773468123382,9.23085961851919,oocyte,2.71979398688353,0.00653225994581171,0.0112760759064594
278,MER34A,0.0809856942506314,11.696083755818,oocyte,2.69914567182827,0.0069517739522775,0.0119716080552942
279,MLTR13,0.132753429747696,10.2192807095284,oocyte,2.65197364943556,0.00800227868050541,0.0136545599749891
280,L1M2a1,0.704722017925524,5.38326445429943,oocyte,2.6341529330693,0.00843474868520165,0.0143649264006595
281,LTR65,0.160343495364075,9.64531544150939,oocyte,2.62531805674158,0.00865680608059115,0.0146588582964677
282,RLTR51B_Mm,0.0695203108396325,12.03816413822,oocyte,2.60869681463464,0.00908877291479817,0.0153610629681665
283,LTR84a,0.1834424516721,9.23325134924545,oocyte,2.60379824944703,0.0092197010991885,0.0155527785145704
284,RMER16A3,0.0934492590014482,11.1778105086211,oocyte,2.60243323140549,0.00925648374826658,0.0155852538867595
285,MamSINE1,0.0745093244844731,11.8295121189497,oocyte,2.60084014374392,0.00929957766602794,0.0156282127506594
286,RLTR26,0.0791454631697987,11.6142107536243,oocyte,2.56401025346392,0.0103470487833281,0.0172904630984561
287,RLTR44B,0.122860980297638,10.3438860319521,oocyte,2.5626723670783,0.0103870014751553,0.0173246609970226
288,RodERV21-int,0.0316347944223311,14.2336372018487,oocyte,2.54111645312689,0.0110499108616675,0.0183614406654624
289,ERVB7_2-LTR_MM,0.0813739933988278,11.4761811602579,oocyte,2.51305512130725,0.011969063206453,0.0197778758188415
290,ERVL-int,0.0667481724325946,12.0222001032446,oocyte,2.49085335597062,0.0127436705496406,0.0209798576270936
291,RLTR26C_MM,0.0697972317975781,11.8343304132773,oocyte,2.4404310141265,0.0146697475055964,0.0239291844632572
292,MER54A,0.104894874664465,10.63711740608,oocyte,2.42198230077001,0.0154361023390663,0.025133140987967
293,MLT1I-int,0.229987049357979,8.34207295540022,oocyte,2.3970295286715,0.0165285916480735,0.0267648779146399
294,MLT1E3,0.0573184389135135,12.3441254214002,oocyte,2.39146678248425,0.0167812024110214,0.0270752975379274
295,L1MC5a,0.0411002447036773,13.3023357820977,oocyte,2.39040063707285,0.0168300024871237,0.0271048409620524
296,LTR33A_,0.0815149947408082,11.3253458796622,oocyte,2.38918134518733,0.0168859651087015,0.0271457920101911
297,LTR16,0.0592963912840699,12.2416387537992,oocyte,2.38764749293674,0.0169565972323923,0.0272101352700303
298,RLTR28B,0.0799385717720927,11.3431718218801,oocyte,2.35749765772401,0.0183985713748216,0.0294178596262885
299,RLTR1D,0.0768235045550737,11.4527990874663,oocyte,2.35337348245653,0.018603937600448,0.029692819617232
300,MIR1_Amn,0.0308747542176903,14.0755602090594,oocyte,2.34777974182463,0.0188856855427382,0.0300884846729288
301,RLTR31M,0.0921132758251106,10.9197687564982,oocyte,2.34576438803933,0.0189881063494576,0.0301975430137169
302,RLTR9A3A,0.100798771286869,10.6519279915913,oocyte,2.33938259770027,0.0193156413536394,0.0306635806489026
303,PB1D11,0.0168654430392676,15.7383667411181,oocyte,2.28332426129781,0.0224112749424836,0.0352007480987066
304,MamGypLTR3,0.177254320913087,8.94123495682906,oocyte,2.27379216523988,0.0229784855444995,0.0360279958537214
305,L1MEj,0.132600277306224,9.73745303465029,oocyte,2.24152422893932,0.0249921378930303,0.0390474702757538
306,MamGypLTR2c,0.190004384910281,8.66840581092563,oocyte,2.21744134282286,0.0265929472001266,0.0412585166857113
307,MER57D,0.101727864355282,10.4658867087381,oocyte,2.21351617373162,0.0268620794252409,0.041603464475678
308,LTR48,0.0715222942272233,11.4341543178718,oocyte,2.17686567046486,0.0294905914819584,0.0455158608115643
309,LTR67B,0.067788720112511,11.5779922996849,oocyte,2.16869885846632,0.0301055541152527,0.0463844672590288
310,L1MCb,0.0638333600960149,11.7476038809857,oocyte,2.16581342098066,0.0303254473542329,0.0466009597746306
311,LTR16D,0.117421486985333,9.98863506978241,oocyte,2.16548051094166,0.0303509063099113,0.0466009597746306
312,MTE2b-int,0.051649628994565,12.3334824151206,oocyte,2.14701475825004,0.0317921067065499,0.0487296256243497
313,BGLII_Mur,0.058196787611713,11.9645558213216,oocyte,2.1287782583022,0.0332726105452534,0.050823626760705
314,BGLII_A,0.0853713394336582,10.8208662495738,oocyte,2.10081170201014,0.0356574988083408,0.0542161599639287
315,MER66-int,0.425229782984682,6.18588832216896,oocyte,2.09920062752501,0.035799218724381,0.0543097362559295
316,RLTR9B,0.0904968999098814,10.6200229729596,oocyte,2.07719520173806,0.0377835465577056,0.0571251239622453
317,RMER3D3,0.791193029712513,4.33621267098575,oocyte,2.05735133779424,0.0396524424218385,0.0595548759984431
318,MamRep605b,0.0891969409918162,10.6339836840877,oocyte,2.05728738495825,0.0396585900912017,0.0595548759984431
319,RMER16B2,0.0808486668833907,10.902305209191,oocyte,2.04647455997772,0.0407097029318304,0.0609274846909044
320,MURVY-LTR,0.0507235764749029,12.2348830040551,oocyte,2.03767457788354,0.0415824882118848,0.0621291294459926
321,MER66B,0.646438881634844,4.8388598208205,oocyte,2.00082667774662,0.0454110713992218,0.0673963981200471
322,RLTR51A_Mm,0.0330195760869839,13.4181161171254,oocyte,1.99907846704574,0.0455998645491057,0.0675637993069249
323,LTR52-int,0.199272225265097,8.22471136827737,oocyte,1.9941229537802,0.0461386193386328,0.0682483071415051
324,MLT1J,0.0287656459326835,13.7684882550786,oocyte,1.96647272879703,0.0492440295034921,0.0723602350886024
