,id,M,A,stage,zscore,p.value,fdr
150,MLTR18C_MM,0.490280678789978,10.5251588287109,8cell,9.23784886898668,2.51502415516496e-20,6.2454091450884e-20
151,IAPEY5_I-int,0.705315674277591,9.4591987080026,8cell,9.18449045913812,4.13480201946848e-20,1.02391058365111e-19
152,RLTR41A2,0.489964356437012,10.427668460074,8cell,8.92514649620773,4.45109710576866e-19,1.0931009190686e-18
153,RLTR24B_MM,0.553449307286404,10.0288841730726,8cell,8.78012509968314,1.63292929243541e-18,3.96632278954941e-18
154,RLTR19C,0.724888541041893,9.18657914087186,8cell,8.58830804690353,8.825937273027e-18,2.13794502335722e-17
155,RLTR20A2,0.629476894118889,9.56526768587477,8cell,8.50387961676302,1.83357676465572e-17,4.42948299939928e-17
156,IAPA_MM-int,2.62406202470189,5.4351823597917,8cell,8.47151137405217,2.42229327143183e-17,5.82005059000782e-17
157,RLTR31C_MM,0.455973414401128,10.4610816730883,8cell,8.40272328691187,4.36241804565346e-17,1.0369491022957e-16
158,RLTR46B,1.10209575471516,7.88727772199463,8cell,8.32312016089034,8.56775122144959e-17,2.02572628613529e-16
159,ORR1G-int,1.10684368184235,7.77098691335754,8cell,8.02877596184664,9.84499515025257e-16,2.30321070751961e-15
160,ID2,0.183352126116169,12.9005559143386,8cell,7.87113953012443,3.51425423201671e-15,8.11473249938405e-15
161,IAPLTR4_I,0.619097061625758,9.378245585223,8cell,7.83871796703298,4.55169581483336e-15,1.04830507238001e-14
162,RLTR13D2,0.485113578390217,10.0783723828079,8cell,7.82916690314311,4.91113320676154e-15,1.12525706721933e-14
163,L2a,0.0839830895249311,15.1344008397574,8cell,7.8270208981108,4.99566075871079e-15,1.14168185462568e-14
164,LTRIS_Mm,0.329525274705054,11.1919999002451,8cell,7.82343337924635,5.14017647961872e-15,1.17169663855924e-14
165,RLTR13D,1.19913360861912,7.43561573170047,8cell,7.74375406092176,9.65236302039267e-15,2.18344802166134e-14
166,MLTR18_MM,0.449230622238668,10.2616785588281,8cell,7.72563171751765,1.11299985133135e-14,2.50495409578118e-14
167,RLTR24,0.290816875783424,11.49552837853,8cell,7.67047178135683,1.7136486635786e-14,3.82772276864668e-14
168,RNERVK23-int,1.85832013260233,6.12188451598093,8cell,7.61143781473978,2.7106331447614e-14,6.02438216423221e-14
169,RLTR44B,0.595977109516002,9.38692374956878,8cell,7.56871461313415,3.76935199645466e-14,8.35649357817505e-14
170,IAPLTR1a_Mm,0.197258918940152,12.5643853955859,8cell,7.53643108863782,4.83008025035712e-14,1.06814461257897e-13
171,L5,1.05638134643084,7.71561820603553,8cell,7.51709135981969,5.60082811120698e-14,1.23551766522655e-13
172,RLTR53_Mm,0.398793153812602,10.5146287829961,8cell,7.48666977573405,7.06431460577206e-14,1.54684130160871e-13
173,LTR28,3.28753773745928,4.42274502547219,8cell,7.47257388975283,7.86411835674335e-14,1.71773985728374e-13
174,MIR1_Amn,0.16223435744706,13.0950445949963,8cell,7.45048480655786,9.29978507152208e-14,2.0263502275939e-13
175,MIRb,0.0595806893525861,15.9237256990394,8cell,7.30650997424526,2.74170159311035e-13,5.91595319484247e-13
176,RLTR10F,0.408857686131197,10.3517760774162,8cell,7.25435878075187,4.03569081307098e-13,8.6036669851801e-13
177,RLTR31_Mm,0.741191452522565,8.62905756061544,8cell,7.23850065003611,4.5367203604824e-13,9.64867081451879e-13
178,MER68-int,1.01724978268269,7.70325199273803,8cell,7.20767810710505,5.69139726823642e-13,1.20755421753274e-12
179,MLTR32C_MM,0.925123238897979,7.97180685080702,8cell,7.19431653075718,6.27744138915948e-13,1.32872509403876e-12
180,RLTR34D_MM,0.41724771734506,10.2659600810256,8cell,7.18626298224831,6.65887288923786e-13,1.40278151623992e-12
181,MLT1L-int,2.45085852837679,5.14960400919364,8cell,7.1667309989327,7.68097455764823e-13,1.61427574036626e-12
182,RLTR31B_Mm,0.495671167999071,9.75356340749241,8cell,7.14782455177063,8.81638922438656e-13,1.83985211748349e-12
183,MER4B-int,1.41236553556848,6.7128702121581,8cell,7.09979849920903,1.24938915967316e-12,2.60118726686052e-12
184,RLTR30B_MM,0.515551341118851,9.61503016011828,8cell,7.08597521693785,1.38068519932215e-12,2.86782509859204e-12
185,RLTR13A,0.551325192991745,9.39193714808672,8cell,7.01382644628433,2.31887015489433e-12,4.79412922721176e-12
186,LTR10_RN,0.405108463127203,10.2079131699897,8cell,6.83821565914462,8.01856259645487e-12,1.65011623802046e-11
187,RLTR22_Mur,0.227601522255832,11.8432116850147,8cell,6.77206319282545,1.26958658550511e-11,2.58867540026157e-11
188,MER21-int,0.888022178329644,7.9003994053418,8cell,6.7369867022592,1.61704972992587e-11,3.28209408653904e-11
189,RLTR18-int,0.447419914884626,9.86887618610084,8cell,6.71510670330457,1.87928649000127e-11,3.79701293093438e-11
190,RLTR41B,0.864314844765012,7.96868691009607,8cell,6.71416975507604,1.89140017442636e-11,3.81282257384362e-11
191,RLTR3_Mm,1.14501640503117,7.13368596563264,8cell,6.65963207429275,2.74513920132724e-11,5.49646114860343e-11
192,RLTR1A2_MM,0.361238428753515,10.4174731285819,8cell,6.55707444678486,5.48736231832946e-11,1.09378141277912e-10
193,MMERVK9E_I-int,0.159378045709557,12.7681674858272,8cell,6.5349706854936,6.36220015299242e-11,1.26249909285943e-10
194,MLTR12,0.449506674048192,9.72660516911692,8cell,6.42182566268517,1.34649581589502e-10,2.64246088373218e-10
195,RLTR48A,0.296501097323477,10.8956895670627,8cell,6.3522750069899,2.12153599368465e-10,4.14515494150693e-10
196,L1MDb,0.437000737959582,9.7628301761914,8cell,6.32204041278594,2.58131844972827e-10,5.02128736877943e-10
197,RMER20B,0.190138180235044,12.1634819454621,8cell,6.32170702662819,2.58689495489424e-10,5.02128736877943e-10
198,ERVB2_1-I_MM,0.826168118653076,7.89047489937483,8cell,6.24620880105092,4.20534923222279e-10,8.0226512176954e-10
199,RLTR19A,0.637366691960884,8.60098536418656,8cell,6.16427745668431,7.08056981300691e-10,1.33360732283117e-09
