,oocyte,2cell,4cell,8cell,morula
RMER16_Mm,3.71204570662653,4.66407763632293,48.3645865475253,66.800597328343,59.366631159915
RLTR13C3,-0.111747721350198,-5.41551912822309,29.0633298891683,52.1537381122218,61.900893332009
PB1D11,2.28332426129781,30.7239034225548,71.073692826208,71.2639840650709,59.7499825163565
MLTR25A,0.820042197399901,-1.55545771089633,20.8912257346171,48.9768942877147,65.7902380354585
ORR1A2,5.09515243991336,33.0788183829382,31.7067173494234,44.6925962551478,86.3687621057109
Lx2B2,-24.1105379292612,-47.1636512442712,-85.7362289046811,-96.7071100143102,-73.6076090496645
ETnERV2-int,8.80652257142502,-16.2016554438076,11.0641959696966,49.9532894223626,53.0017160922922
RLTR4_Mm,-2.65416260829626,11.6113080303955,43.0417311259758,68.0886541800907,51.8673378770175
Lx5b,-16.2430154717347,-35.1392968094316,-65.2802511399157,-85.6909063572539,-74.0663464799244
MTC-int,25.6414504581902,1.51206817531597,-26.4216904283374,-31.0752724651617,-46.4818075723252
ETnERV-int,-10.5769162069615,-17.9843800017546,-8.12169966202976,30.8714012809494,45.0190209531085
B4,-6.26118310773005,-0.270628089958827,-48.7521501808782,-62.9467713274513,-48.4856866242036
B1F,27.4138694769385,57.6566279339595,95.7386551998477,82.6853801265025,86.6388988172961
RLTR9E,17.4445566366834,27.2390715319816,59.9620891642143,77.2502543386439,74.7699354003054
RMER19B,35.8814793667745,24.7574735507794,-16.5876528410463,1.77408289272524,-29.0397901745133
Lx5c,-8.42614709586851,-40.0543215274882,-74.7035690106942,-70.0140224255624,-61.4172150632839
RMER16A2,1.07149364829809,10.9653432218357,43.0910536455778,62.9087575195558,54.6166740541278
RMER17B,11.7323230138189,54.0904448860767,-14.8672238782417,18.6993803564411,-8.19606872298605
RMER17C,19.2352318086509,46.9736419001379,-18.2904944932528,-10.1660013704339,-4.88339878972682
RMER13B,-3.64967647819396,30.0183025539036,-30.4458995930091,-26.2676390277612,-32.4320395156483
L1Md_F3,-38.6730571639181,-64.560628869174,-93.995641588398,-104.419667156951,-87.1950357374781
ORR1A3-int,4.69763574785056,41.7246111183539,78.3185345189241,43.5694161027901,40.1327671857187
L1VL4,-33.1490761187367,-53.6619510642801,-80.1640109655303,-101.386343202552,-71.6685337400697
ID4,14.8633594544759,32.4374457981968,77.2058135845003,63.491117930887,57.5283500212183
RLTR10,41.5815470465371,-26.4915501367742,-7.08291339786638,-2.40903682983901,8.08988447694098
RMER16,-2.23227100479488,8.42586079069776,32.8551990888955,50.7919085648975,53.9767275907948
RLTR10C,-7.48464327642943,-29.6044976065047,18.1175004017787,-0.674174921220423,36.088969189387
L1VL2,-13.4514960611432,-19.8218910582081,-62.7825618646061,-67.1002578855172,-53.4860689950656
Lx4B,-21.2815773653418,-31.2536380672539,-62.6005794452009,-76.3750439032576,-69.2223852791353
IAPEY3-int,-69.1132159733475,-71.7188423958316,-27.377404247641,-29.4126763338809,-21.9126384162417
ID4_,12.1903369225316,26.398396897285,74.5284940449657,53.7118389588527,48.5676273370494
IAPEY_LTR,-4.08425214542908,-0.792774005585427,44.8351295074978,47.0306686067539,23.2856933514921
MLT1C,-1.03964917450699,-0.568925098156,-33.9677270316947,-45.6242421201003,-50.3752811688126
Lx4A,-23.8499019551311,-43.3226749283374,-76.8746459875946,-77.0024032019042,-70.6805112521421
RLTR17B_Mm,7.13263339160291,-16.6403148144374,-9.28804494930549,-54.3375104210609,-31.1594353756309
RMER17A2,1.61495300468136,24.1556861964786,-24.6723072528272,-29.5402542759984,-26.2604051823237
MTB-int,28.713325953069,7.954004377353,-15.7714463184247,-20.6441366825156,-26.8361644788628
MURVY-int,-15.7997881095812,29.7900969431567,-19.2995847228799,-23.9169711277222,-25.6419595468752
RLTR6_Mm,-1.89277201582853,17.9777974158058,43.9370973097351,53.4046284687327,44.595027007787
IAPLTR2a,-33.6357426408349,-17.5839173761915,17.9228829973298,10.7858131180074,15.2401215272574
Lx6,-20.711743200234,-65.5372876694956,-76.0535097225477,-75.7086719376075,-62.7272131326492
L1_Mur3,-23.0143655966616,-74.5112371029674,-76.5274715238087,-52.2518030985611,-41.2329759023922
